Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
¡Mucha Lucha!,3,52,United States,2002,2005,Kids' WB,,,,,
10+2,1,52,Spain,1994,1994,Televisió de Catalunya,KiKa,,,,
100% Wolf: Legend of the Moonstone,2,26,Australia,2020,Present,ABC Me,,,,,
1001 Nights,2,52,Canada,2011,2012,Teletoon,,,,,
101 Dalmatian Street,1,40,"United Kingdom, Canada",2019,2020,Disney Channel,Disney+,,,,
101 Dalmatians: The Series,2,65,US,1997,1998,ABC,Syndication,,,,
12 oz. Mouse,3,31,United States,2005,2020,Adult Swim,Adult Swim Video (webisode),,,,
2 Stupid Dogs,2,26,US,1993,1995,TBS,Syndication,,,,
3 Amigonauts,1,26,Canada,2017,2017,YTV (Canada),Pop (British),,,,
3 South,1,13,United States,2002,2003,MTV,,,,,
3-2-1 Penguins!,3,27,"Canada,USA",2000,2008,Direct to video/Qubo,,,,,
3-2-1 Penguins!,2,13,"Canada, United States",2006,2008,NBC (second run),,,,,
3000 Whys of Blue Cat,1,3057,China,1999,2001,Beijing Television,,,,,
3Below: Tales of Arcadia,2,26,United States,2018,2019,Netflix,,,,,
3rd & Bird,2,51,"Britain, United States",2008,2008,CBeebies,,,,,
44 Cats,2,104,Italy,2018,2021,Rai Yoyo (Italy),Nick.Jr (Italy),Discovery Kids (Latin American),,,
64 Zoo Lane,2,52,"US, UK",1999,2003,It's Itsy Bitsy Time,Noggin,Universal Kids,,,
64 Zoo Lane,2,52,"US, UK",2010,2013,It's Itsy Bitsy Time,Noggin,Universal Kids,,,
6teen,,93,Canada,2004,2010,Teletoon,,,,,
A Bunch of Munsch,1,7,Canada,1991,1992,CTV,,,,,
A Kind of Magic,,26,France,2006,2009,France 3,Disney Channel,,,,
A Little Curious,2,43,US,1998,2000,HBO Family,,,,,
A Miss Mallard Mystery,1,26,"Canada, China",2000,2001,Teletoon,,,,,
A Pup Named Scooby-Doo,4,27,US,1988,1991,ABC,,,,,
A Tale Dark & Grimm,1,10,United States,2021,Present,Netflix,,,,,
A.T.O.M.,2,52,France,2005,2006,Jetix,,,,,
Aaagh! It's the Mr. Hell Show!,1,13,"Britain, Canada",2001,2002,BBC2,,,,,
Aaahh!!! Real Monsters,4,52,US,1994,1997,Nickelodeon,,,,,
Abadas,1,52,Britain,2011,2012,CBeebies,,,,,
Abby Hatcher,2,52,Canada,2019,2022,TVOKids (Canada),Nick Jr. (International),,,,
Abby's Flying Fairy School,4,26,United States,2009,2012,PBS Kids,,,,,
ABC Monsters,,26,Malaysia,2011,2011,,,,,,
ABC with Kenny G,TBA,TBA,Canada,2021,2021,TVOkids,,,,,
Abominable and the Invisible City,TBA,TBA,United States,2022,2022,Peacock,,,,,
Ace Ventura: Pet Detective,3,41,"Canada, US",1995,2000,Nickelodeon,,,,,
Action Dad,1,22,"Brazil, United States",2012,2012,Cartoon Network,,,,,
Action League Now!,1,51,US,1996,2000,Nickelodeon,,,,,
Action Man,1,26,UK,1995,1996,Syndication,,,,,
Action Man,2,26,Canada,2000,2000,Fox Kids,,,,,
Action Pack,2,16,"United States, Canada, United Kingdom",2022,Present,Netflix,,,,,
"Ada Twist, Scientist",2,12,United States,2021,Present,Netflix,,,,,
ADHD Shorts,,13,United States,2013,2016,Fox,,,,,
Adventure Beast,1,12,United States,2021,Present,Netflix,,,,,
Adventure Time,10,283,United States,2010,2018,Cartoon Network,,,,,
Adventure Time: Distant Lands,1,4,United States,2020,2021,HBO Max,,,,,
Adventures from the Book of Virtues,3,39,US,1996,2000,PBS Kids,,,,,
Adventures of Sonic the Hedgehog,1,65,US,1993,1996,Syndication,,,,,
Æon Flux,3,16,US,1991,1995,MTV,,,,,
Aesop's Theater,,39,South Korea,2007,2007,,,,,,
Agent Binky: Pets of the Universe,2,52,Canada,2019,Present,Treehouse TV (Canada),Discovery Kids (Latin America),,,,
Agi Bagi,,,Poland,2014,2014,,,,,,
Alabama Jackson,1,TBA,United States,2022,2022,YouTube,,,,,
Aladdin: The Series,3,86,US,1994,1995,The Disney Channel,Syndication,CBS,,,
Alamat,2,12,Philippines,2015,2016,GMA Network,,,,,
